央视,#genre#
CCTV4,http://121.27.126.190:809/hls/4/index.m3u8
CCTV5,http://121.27.126.190:809/hls/5/index.m3u8
CCTV6,http://121.27.126.190:809/hls/6/index.m3u8
CCTV7,http://121.27.126.190:809/hls/7/index.m3u8
CCTV8,http://121.27.126.190:809/hls/8/index.m3u8
CCTV9,http://121.27.126.190:809/hls/9/index.m3u8
CCTV10,http://121.27.126.190:809/hls/10/index.m3u8
CCTV11,http://121.27.126.190:809/hls/11/index.m3u8
CCTV12,http://121.27.126.190:809/hls/12/index.m3u8
CCTV13,http://121.27.126.190:809/hls/13/index.m3u8
CCTV14,http://121.27.126.190:809/hls/14/index.m3u8
CCTV15,http://121.27.126.190:809/hls/15/index.m3u8
CCTV5+,http://121.27.126.190:809/hls/16/index.m3u8
CCTV1,http://121.27.126.190:809/hls/101/index.m3u8
CCTV2,http://121.27.126.190:809/hls/102/index.m3u8
CCTV5,http://121.27.126.190:809/hls/105/index.m3u8
CCTV6,http://121.27.126.190:809/hls/106/index.m3u8
CCTV7,http://121.27.126.190:809/hls/107/index.m3u8
CCTV8,http://121.27.126.190:809/hls/108/index.m3u8
CCTV9,http://121.27.126.190:809/hls/109/index.m3u8
CCTV13,http://121.27.126.190:809/hls/113/index.m3u8
CCTV14,http://121.27.126.190:809/hls/114/index.m3u8
CCTV1,http://14.105.22.9:20002/rtp/235.254.198.51:1480
CCTV2,http://14.105.22.9:20002/rtp/235.254.198.52:1484
CCTV3,http://14.105.22.9:20002/rtp/235.254.198.53:1488
CCTV4,http://14.105.22.9:20002/rtp/235.254.198.183:7980
CCTV5,http://14.105.22.9:20002/rtp/235.254.198.54:1492
CCTV5+,http://14.105.22.9:20002/rtp/235.254.198.122:1764
CCTV6,http://14.105.22.9:20002/rtp/235.254.198.55:1496
CCTV7,http://14.105.22.9:20002/rtp/235.254.198.56:1500
CCTV8,http://14.105.22.9:20002/rtp/235.254.198.57:1504
CCTV9,http://14.105.22.9:20002/rtp/235.254.198.58:1508
CCTV10,http://14.105.22.9:20002/rtp/235.254.198.59:1512
CCTV11,http://14.105.22.9:20002/rtp/235.254.198.7:1304
CCTV12,http://14.105.22.9:20002/rtp/235.254.198.60:1516
CCTV13,http://14.105.22.9:20002/rtp/235.254.198.9:1312
CCTV15,http://14.105.22.9:20002/rtp/235.254.198.11:1320
CCTV少儿,http://14.105.22.9:20002/rtp/235.254.198.61:1520
CCTV1,http://14.105.22.9:20002/rtp/235.254.198.1:1280
CCTV2,http://14.105.22.9:20002/rtp/235.254.198.2:1284
CCTV3,http://14.105.22.9:20002/rtp/235.254.198.141:1842
CCTV4,http://14.105.22.9:20002/rtp/235.254.198.3:1288
CCTV5,http://14.105.22.9:20002/rtp/235.254.198.142:1846
CCTV6,http://14.105.22.9:20002/rtp/235.254.198.143:1852
CCTV7,http://14.105.22.9:20002/rtp/235.254.198.4:1292
CCTV8,http://14.105.22.9:20002/rtp/235.254.198.144:1856
CCTV9,http://14.105.22.9:20002/rtp/235.254.198.5:1296
CCTV10,http://14.105.22.9:20002/rtp/235.254.198.6:1300
CCTV12,http://14.105.22.9:20002/rtp/235.254.198.8:1308
CCTV少儿,http://14.105.22.9:20002/rtp/235.254.198.10:1316
CCTV1,http://60.166.114.144:8888/rtp/238.1.78.166:7200
CCTV2,http://60.166.114.144:8888/rtp/238.1.78.235:7752
